编导填写,,,,,剪辑填写,,,,编导填写,,,,,,
日期,表达卖点,文案内容,对应视频画面需求,编导,是否采用,短视频ID,剪辑人,上传日期,3天平均展现次数,3天整体点击率,3天合计销售额,7天平均展现次数,7天整体点击率,7天合计销售额,15天合计销售额
7月28日,开头,男人胡子拉碴，再贵的衣服也穿不出精神！,没剃的胡子，照镜子全脸摸,张可熠,,7670009870997176363,洪晨沛,8.4,6.333333333,0.00%,0,,,,
,动力,试试上谷S5Max，升级合金转子，39000转/分高频振动。,12.20  S，产品，机身充电口转子刀网，转子展示,,,,,,,,,,,,
,剃须效果,浮动五刀头，不管多硬的胡茬，几下就刮干净。,剃半脸，真剃,,,,,,,,,,,,
,外观机身,镀钛工艺，质感很出色。,12.20  S5，产品，机身充电口转子刀网，机身展示,,,,,,,,,,,,
,充电,90分钟续航，3年质保。,12.20  S5，产品，机身充电口转子刀网，充电口,,,,,,,,,,,,
,结尾,干净的下巴，才是男人最好的名片。,剃完展示，剃完摸脸不展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月28日,开头,各位，千万别买这把剃须刀！因为这把上谷S5Max，实在太“费时间”了！,机身展示，手持机身,张可熠,,,,,,,,,,,
,刀头+剃须效果,刀片一体式嵌入，自磨刀头设计，长期使用也能保持锋利，好几年都不用操心换刀头的事。,刀网，刀网展示  +  剃半脸,,,,,,,,,,,,
,七级防水,而且它太“省事”了！全机防水，平板面设计，一冲就干净，连清理的时间都给你省了！,12.20  S5，产品，防水[水波]  +  防水效果，直接冲水,,,,,,,,,,,,
,充电,超长续航，还有旅行锁。,机身展示，保护盒…,,,,,,,,,,,,
,,这么硬核的质价比，懂行的兄弟早就入手了。直播间，自己看！,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,别再给扯胡子、留青茬的传统剃须刀交学费了，换上这把上谷S5Max！,没剃的胡子，全脸摸  +  12.20  S5，产品，机身充电口转子刀网，机身展示，转台展示,张可熠,,,,,,,,,,,
,动力,升级合金转子，每分钟39000次切割！,12.20  S5，产品，机身充电口转子刀网，转子展示[转子对镜头],,,,,,,,,,,,
,刀头,刀片刀网一体嵌入，再硬的胡茬，几下就推干净,剃一道，特写,,,,,,,,,,,,
,七级防水,更值得一提的是，平板面设计全机身防水，用完水龙头下一冲就干净，打理很方便！,12.20  S5，产品，防水  +  防水效果，直接冲水,,,,,,,,,,,,
,外观机身,烤漆工艺，拿在手里就是满满的高级感。,机身展示，手持机身,,,,,,,,,,,,
,充电,Type-C快充，充一次用大半个月，出门在外也不用担心！,12.20  S5，产品，机身充电口转子刀网，充电口,,,,,,,,,,,,
,结尾,想要净须体验的务实派兄弟，进直播间，把这份性价比带回家！,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,你一定需要一把刮得干净，还不伤皮肤的剃须刀。,12.20  S5，产品，防水[水波],张可熠,,,,,,,,,,,
,外观机身,上谷S5Max，烤漆工艺，低调且高级，握感很舒服。,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作[转],,,,,,,,,,,,
,剃须效果,简约机身，一键启动。不管横刮逆刮，都自然流畅。,产品细节及礼盒展示，转子展示  + 剃半脸，真剃,,,,,,,,,,,,
,刀头,五层刀网，一体式设计，剃得干净利落。,剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，用完直接水洗，冲一冲就干净，打理起来特别省心。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,充电,充一次电，能用大半个月，出差旅行都不用担心没电。,机身展示，保护盒打开、关闭展示机身,,,,,,,,,,,,
,结尾,怕麻烦、想花小钱办大事的朋友，真的值得试试。现在直播间有活动，还有专属赠品，千万别错过这波福利！,机身展示，车上机身入画,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,用上谷S5Max，挑战剃光3天的钢茬胡。,剃半脸，真剃,张可熠,,,,,,,,,,,
,动力,五刀头配置，39000次/分高频动力，硬胡茬也剃得很利落。,12.20  S5，产品，机身充电口转子刀网，转子展示,,,,,,,,,,,,
,剃须效果,浮动刀头灵活贴合面部轮廓，镀钛工艺，剃须不泛红、不拉扯。,剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，平板面设计，用完水一冲就干净，打理起来非常省心。,12.20  S5，产品，防水，黑色[/银色][浇水],,,,,,,,,,,,
,充电,Type-C快充，升级大容量电池，出差旅行都够用。,12.20  S5，产品，机身充电口转子刀网，充电口,,,,,,,,,,,,
,外观机身,烤漆机身，手感细腻，高级感拉满。,12.20  S5，产品，机身充电口转子刀网，机身展示，银色，有其他动作[带礼盒],,,,,,,,,,,,
,结尾,不管自用还是送人，都是一份精致的选择。现在直播间有活动，还有专属赠品，想换剃须刀的朋友可以进来看看！,12.20  S5，产品，礼盒，双人送,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,脸都刮红了，下巴还扎手？那是刀头不行。,没剃的胡子，照镜子全脸摸,张可熠,,,,,,,,,,,
,剃须效果,试上谷S5Max往复式剃须刀，4+1浮动五刀头，刀片刀网一体嵌入，贴着脸型走，长须短须都能剃。,机身展示，转台旋转展示机身  +  刀网，刀网展示  +  剃一道，特写,,,,,,,,,,,,
,刀头,镀钛自磨刀头，别人半年就钝，它能越用越锋利。,剃半脸,,,,,,,,,,,,
,七级防水,平板面直接就能冲干净，全机防水，洗澡也能刮。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,充电,Type-C快充，屏显电量清清楚楚。,12.20  S5，产品，机身充电口转子刀网，充电口，银色[/黑色也有] [插电],,,,,,,,,,,,
,结尾,不想天天刮破脸？直播间正在做活动，可以来看看。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,男生换剃须刀，听我一句劝，就得选这种往复式的，动力猛、剃得净。,12.20S5，产品，机身充电口…，机身展示，黑色，有其他动作  +  12.20S5，产品，机身充电口…，转子展示,张可熠,,,,,,,,,,,
,动力,上谷S5Max，39000次每分钟的升级合金转子，动力摆在这，硬胡茬、络腮胡都能断，完全不夹须、不扯肉。,转子展示  +  剃半脸，真剃,,,,,,,,,,,,
,刀头+剃须效果,重点是五刀头浮动设计，下巴、喉结、下颌线这些有棱角的地方，它能自己调整角度严丝合缝地贴上去，不用你使劲怼脸。,刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,充电,Type-C快充，超长续航，出差半个月也不用带线。,机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,七级防水,全机防水，用完水龙头下一冲就干净。,防水效果，直接冲水,,,,,,,,,,,,
,结尾,好用不啰嗦，趁现在有活动，直播间自己看。,礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,还在用传统剃须刀？打泡沫麻烦，还容易刮出口子,没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,剃须效果,换这个上谷S5Max，刀片刀网一体嵌入，薄到贴住皮肤从根上刮，不伤脸。,机身展示，红布抽开展示产品  +  剃一道，特写,,,,,,,,,,,,
,刀头,镀钛自磨刀头，久用依然锋利。,刀网，刀网展示,,,,,,,,,,,,
,七级防水,全机防水，洗澡顺手就刮了，平板面水一冲就干净。,防水效果，直接冲水,,,,,,,,,,,,
,充电,Type-C充一次用大半个月，屏显电量，清晰可见,充电口展示通电电量显示,,,,,,,,,,,,
,结尾,三十几岁对自己好点，现在还有活动，进直播间看看,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,用剃须刀最怕遇到胡茬堵刀头里抠不出来。,没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,刀头,上谷S5Max平板面设计，刀网一体式嵌入，没缝隙能藏渣，水龙头冲几秒就干净。,防水效果，直接冲水,,,,,,,,,,,,
,七级防水,全机防水，湿刮干刮都可以。,12.20  S5，产品，防水[水波],,,,,,,,,,,,
,动力,一分钟39000转，动力十足不卡须。,剃半脸，真剃,,,,,,,,,,,,
,充电,Type-C通用接口，随时随地都能充，烤漆面细腻不留汗渍。,12.20  S5，产品，机身充电口转子刀网，充电口,,,,,,,,,,,,
,结尾,男人用的东西就得省事，进直播间了解更多细节。,礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,你那个剃须刀的刀网是不是又破了？,没剃的胡子，照镜子全脸摸,张可熠,,,,,,,,,,,
,刀头,看看上谷S5Max，刀片刀网采用一体式嵌入工艺，结构稳，不易坏。,机身展示，转台旋转展示机身  +  刀网，刀网展示,,,,,,,,,,,,
,剃须效果,刀头镀钛处理，硬度高还耐磨，配合自磨技术，不用频繁换刀头。,剃一道，全脸+特写,,,,,,,,,,,,
,动力,39000次高频振动，动力十足不卡须。,12.20  S5，产品，防水，银色[刀头入水],,,,,,,,,,,,
,充电,升级大容量电池，Type-C通用接口，出差不用单带线。,机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,结尾,干脆把好刀，省心好几年，现在进直播间还有活动。,产品拿出拔盖正反展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,信我，别买那种几十块的旋转式了，剃半天还是不干净。,没剃的胡子，竞品卡胡子,张可熠,,"
7670340887595778054",洪晨沛,8.5,,,,,,,
,剃须效果,上谷S5Max往复式剃须刀，浮动五刀头，刀网贴脸严丝合缝，下巴喉结一遍过，不留渣。,机身展示，手持机身  +  剃半脸,,,,,,,,,,,,
,七级防水,平板面一冲就干净不藏渣，全机防水随便冲。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,动力,升级合金转子电机，每分钟39000转的动力，硬茬也能轻松切断，镀钛刀头久用依然锋利。,转子展示  +  剃一道，特写,,,,,,,,,,,,
,结尾,趁活动换把好刀，现在进直播间看看吧。,礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,买剃须刀就看三点，刀头、电机和防水,机身展示，红布抽开展示产品,张可熠,,7670081275056046122,洪晨沛,8.4,11,12.12%,0,,,,
,剃须效果,上谷S5Max浮动五刀头，外加镀钛自磨，刮得净还耐用，不用频繁换刀头。,剃一道，全脸,,,,,,,,,,,,
,动力,升级合金转子39000转每分钟，动力强劲不震手，硬茬不卡。,12.20  S5，产品，机身充电口转子刀网，转子展示,,,,,,,,,,,,
,七级防水,全机防水，洗澡也能放心刮，平板面水冲就干净。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,充电,Type-C快充，大容量电池长续航，出差旅行都不担心。,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作[拿出画],,,,,,,,,,,,
,结尾,进直播间看看，入手不亏。,机身展示，手持机身,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,经常出差的朋友，看到这条别划走。,礼盒，礼盒开盖,张可熠,,7670081263086223401,洪晨沛,8.4,16,6.25%,0,,,,
,外观机身,上谷S5Max剃须刀，Type-C口快充，跟你的手机共用一根线，为你的行李减减负。,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作[有赠品],,,,,,,,,,,,
,剃须效果,超长续航，出差半个月都不用担心没电。关键是自带旅行锁功能，放行李箱里不怕误触开机。,剃一道，全脸,,,,,,,,,,,,
,七级防水,平板刀头一冲就干净，全机防水，酒店洗手台随便造。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,结尾,经常往外跑的，这个太合适了。趁现在直播间还有活动，快来看看吧,机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月29日,开头,早上赶时间，刮胡子还得跟它较劲？,没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,剃须效果,换上谷S5Max试试。五刀头一贴上去，不用来回蹭，几下就干净了。,剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，着急的话直接拿水冲冲就能出门。,防水效果，直接冲水,,,,,,,,,,,,
,充电,Type-c充电口，办公室、车上、家里随时充,12.20  S5，产品，机身充电口转子刀网，充电口，银色[/黑色] [插电],,,,,,,,,,,,
,刀头,自磨刀头，不怕用久了变钝。,刀网，刀网展示,,,,,,,,,,,,
,结尾,好用不贵，趁现在活动给老爸也带一个，进直播间看看吧。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,想体验一把“刀过无痕”的感觉吗？,剃半脸,张可熠,,,,,,,,,,,
,刀头,看上谷S5Max，刀网薄到看见里面刀片，一体式嵌入浮动五刀头，贴几遍就干净。,刀网，刀网展示  +  刀网，按动刀网  +剃半脸，真剃,,,,,,,,,,,,
,七级防水,平板面一冲就干净，全机防水随便洗。,防水效果，直接冲水  +  12.20  S5，产品，防水,,,,,,,,,,,,
,剃须效果,镀钛自磨刀头久用依然锋利，不用频繁换。,剃一道，特写,,,,,,,,,,,,
,动力,升级转子每分钟39000转，剃的干净不夹须。,12.20  S5，产品，机身充电口转子刀网，转子展示,,,,,,,,,,,,
,外观机身,烤漆面不留痕，手感细腻。,机身展示，车上机身入画,,,,,,,,,,,,
,结尾,对自己好点，点开直播间看看，趁活动入手不亏。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,不吹牛，这把剃须刀是我用过最省心的。,机身展示，转台旋转展示机身,张可熠,,,,,,,,,,,
,剃须效果,上谷S5Max，浮动五刀头，下巴脖子都能刮得干干净净。,12.20  S5，产品，机身充电口转子刀网，刀网展示  +  剃一道，全脸,,,,,,,,,,,,
,动力,能自磨的镀钛刀片，加上39000转的转速，用了一年锋利度依旧在线,刀网，刀网展示  +  转子展示  +  左右脸对比,,,,,,,,,,,,
,七级防水,全机防水，平板面水冲就干净。,12.20  S5，产品，防水  +  防水效果，直接冲水,,,,,,,,,,,,
,充电,Type-C快充，超长续航，缓解你的续航焦虑。,12.20  S5，产品，机身充电口转子刀网，充电口,,,,,,,,,,,,
,结尾,现在活动价很给力，兄弟们自己点直播间进去看看，不好用来找我。,礼盒，礼盒开盖  +  产品拿出拔盖正反展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,男人的第二把剃须刀，得选懂你的。,机身展示，机身扫光,张可熠,,,,,,,,,,,
,刀头,上谷S5Max，4+1浮动五刀头，,产品拿出拔盖正反展示,,,,,,,,,,,,
,剃须效果,贴面剃须不残留；洗澡顺手刮，,剃一道，全脸,,,,,,,,,,,,
,七级防水,全机防水，水一冲就完事。,防水效果，直接冲水,,,,,,,,,,,,
,充电,超长长续航，Type-C充电。,充电口展示通电电量显示,,,,,,,,,,,,
,外观机身,双涂双烤，漆面细腻更耐用。,12.20  S5，产品，机身充电口转子刀网，机身展示，转台展示,,,,,,,,,,,,
,结尾,趁活动给自己一份体面的礼物，点开直播间看看吧。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,你算过没有，便宜剃须刀隔俩月换次刀头，一年下来都够买把好的了。,没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,刀头,上谷S5Max镀钛刀头久用依然锋利，为你的剃须体验稳稳托底。,刀网，按动刀网  +  机身展示，手持机身,,,,,,,,,,,,
,剃须效果,浮动五刀头一体嵌入，下巴喉结几下净不留胡茬。,12.20  S5，产品，机身充电口转子刀网，刀网展示，银色[/黑色] [手摸刀网]  +  剃一道，特写,,,,,,,,,,,,
,动力,新升级转子39000转动力十足，,12.20  S5，产品，机身充电口转子刀网，转子展示,,,,,,,,,,,,
,七级防水,全机防水放心用，平板面设计水一冲就干净,12.20  S5，产品，防水   +   防水效果，直接冲水,,,,,,,,,,,,
,结尾,聪明人算长期账，直播间点开看看值不值。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,停！看我下巴这硬得扎手的青茬，普通剃须刀磨三遍都留印子！,没剃的胡子，照镜子全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,剃须效果,直接上谷S5Max怼上去——电动往复式加浮动五刀头，顺着下颌线一滑，胡茬直接全被带下来。,没剃的胡子，假装在剃  +  剃一道，全脸  +  剃一道，特写,,,,,,,,,,,,
,七级防水,它还是平板面设计，用完放水龙头下冲两秒，碎胡茬顺着水流直接冲干净。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  防水效果，直接冲水,,,,,,,,,,,,
,充电,Type-C通用充电，手机线就能充，出门半个月不用带充电器。,12.20  S5，产品，机身充电口转子刀网，充电口  +  机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,结尾,别划走，你的心仪好物正在直播间等你挑选。,产品拿出拔盖正反展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,剃须刀刮不干净还扯胡子，早上剃完下午就冒胡茬，说的就是你吧？,没剃的胡子，竞品卡胡子  +  没剃的胡子，全脸摸,张可熠,,,,,,,,,,,
,动力,试试上谷S5Max，39000次/分钟高频震动，动力猛到硬茬轻松推掉。,机身展示，转台旋转展示机身  +  12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃半脸,,,,,,,,,,,,
,剃须效果,4+1浮动五刀头，专门针对下巴、喉结这些剃不净的死角，来回几下就搞定。,刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，怎么冲都没事。,12.20  S5，产品，防水  +  防水效果，丢进玻璃缸,,,,,,,,,,,,
,结尾,直播间还有详细介绍，被剃须折磨过的兄弟可以看看。,12.20  S5，产品，礼盒，银色[黑色],,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,有没有一把剃须刀，光放在洗手台上就显品位？,礼盒，礼盒开盖,张可熠,,,,,,,,,,,
,七级防水,上谷S5Max算一个。高温烤制漆面，触感像陶瓷一样温润，关键是不留指纹，随手一放都干干净净。,机身展示，车上机身入画  +  12.20  S5，产品，防水[水波]  +  机身展示，转台旋转展示机身,,,,,,,,,,,,
,外观机身,平板面设计，没有多余的线条，简洁利落。,机身展示，转台旋转展示机身,,,,,,,,,,,,
,剃须效果,镀钛刀头工艺，耐磨不锈，用久了依然顺滑。,刀网，刀网贴手腕  +  剃一道，特写,,,,,,,,,,,,
,动力,39000转动力储备，剃须只是顺手的事。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃一道，全脸,,,,,,,,,,,,
,结尾,这质感对得起价格，进直播间了解更多细节。,机身展示，手持机身,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,动力,39000转/分钟，什么概念？普通剃须刀转速也就一两万，这个直接翻倍。,12.20S5，产品，机身充电口转子刀网，转子展示  +  12.20S5，产品，机身充电口转子刀网，刀网展示，黑色[刀网+转子],张可熠,,7670101958876577798,洪晨沛,8.4,13.33333333,2.50%,0,,,,
,剃须效果,上谷S5Max搭载升级合金转子，硬胡须、络腮胡、两天没刮的粗茬，推过去就掉，不带犹豫的。,12.20  S5，产品，防水，银色[刀头入水]  +  没剃的胡子，照镜子全脸摸  +  剃一道，全脸,,,,,,,,,,,,
,刀头,4+1浮动五刀头，刀片和刀网一体嵌入，刀头贴着脸型走，不放过任何一根。,刀网，按动刀网  +  剃一道，特写,,,,,,,,,,,,
,结尾,动力猛但不震手，手感稳得很，动力党放心入。,机身展示，保护盒打开关闭展示机身  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,是不是总在算手上的刀片还能用多久，上谷S5Max帮你省去这个烦恼。,没剃的胡子，全脸摸  +  机身展示，车上机身入画,张可熠,,7670081258488594474,洪晨沛,8.4,29.66666667,1.12%,0,,,,
,刀头,刀头精钢镀钛，长久使用依然锋利。,刀网，刀网展示  +  12.20  S5，产品，机身充电口转子刀网，刀网展示，银色[黑色] [手摸刀网],,,,,,,,,,,,
,充电,Type-C充电一次，按每天剃须2分钟算，一个半月不用碰充电器。,12.20  S5，产品，机身充电口转子刀网，充电口，黑色[银色] [插电]  +  机身展示，保护盒打开关闭展示机身,,,,,,,,,,,,
,,身自带电子屏，剩多少电写着呢，不用靠猜。,充电口展示通电电量显示,,,,,,,,,,,,
,动力,39000次/分钟动力，剃得又快又干净。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃一道，特写,,,,,,,,,,,,
,结尾,上谷S5Max，适合每一个不爱折腾的你。,12.20  S5，产品，礼盒，黑色[银色] [产品拿出],,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,预算不多但不想将就？看看上谷S5Max。,机身展示，红布抽开展示产品,张可熠,,7670472564363264041,洪晨沛,8.5,,,,,,,
,外观机身,礼盒及赠品展示\从人到礼盒产品赠品展示ycc1939,机身展示，手持机身  +  12.20  S5，产品，防水，黑色[银色] [水波],,,,,,,,,,,,
,剃须效果+动力,针对专为国人的硬胡茬设计，4+1浮动五刀头加39000转动力，剃须实力在线。,剃半脸，真剃  +  转子展示  +  剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水，打理方便。,防水效果，直接冲水,,,,,,,,,,,,
,结尾,花不多的钱买个好用的，现在直播间还有超值活动。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,不讲故事不煽情，就问一句：剃得干净不干净？,机身展示，转台旋转展示机身,张可熠,,"7670464304647995428
",洪晨沛,8.5,,,,,,,
,动力,上谷S5Max，39000次/分钟合金转子，粗胡茬都拿下。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃一道，特写,,,,,,,,,,,,
,动力+剃须效果,4+1浮动五刀头搭配镀钛刀网，贴着脸型走，不留胡茬。,刀网，刀网贴手腕  +  剃半脸,,,,,,,,,,,,
,七级防水,全机防水，用完直接水冲。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,剃须效果,没有花里胡哨的功能，就是把胡子剃干净。,剃完展示，上脸再展示,,,,,,,,,,,,
,结尾,实在人选实在货，直播间这波优惠，别错过。,12.20  S5，产品，礼盒，银色[开盖],,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月30日,开头,你有没有过这种经历——剃到一半没电了，半边脸刮了半边没刮？,没剃的胡子，照镜子全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,7670464312523341865,洪晨沛,8.5,,,,,,,
,外观机身,上谷S5Max给你配了块电子屏，电量剩多少一眼就知道。,12.20  S5，产品，机身充电口转子刀网，机身展示，银色[黑色]，有其他动作 [按开关],,,,,,,,,,,,
,充电,Type-C充电随时补电，长续航够用很久。,充电口展示通电电量显示,,,,,,,,,,,,
,剃须效果,连死角里的短须，都能清干净,剃一道，特写,,,,,,,,,,,,
,七级防水,全机防水一冲即净。,防水效果，丢进玻璃缸,,,,,,,,,,,,
,结尾,直播间活动进行中，有电量焦虑的可以放心入手,12.20  S5，产品，机身充电口转子刀网，机身展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,讲究人都在用的上谷S5Max，细节直接拉满！,机身展示，车上机身入画,张可熠,,7670464296363573291,洪晨沛,8.5,,,,,,,
,外观机身,第一，高温烤制，漆面细腻，怎么摸都不留痕；,12.20  S5，产品，机身充电口转子刀网，机身展示，银色，有其他动作[翻转+摩挲],,,,,,,,,,,,
,充电,第二，Type-C接口，一根手机线随时续航；,12.20  S5，产品，机身充电口转子刀网，充电口，银色[黑色] [插电],,,,,,,,,,,,
,动力,第三，3900转强力剃须，再硬的胡子也能剃。,转子展示  +  剃半脸，真剃,,,,,,,,,,,,
,剃须效果 +七级防水,核心配置更是硬核：浮动五刀头贴面剃须，全机身防水好清洗！,剃一道，特写  +  防水效果，直接冲水,,,,,,,,,,,,
,结尾,上谷，让你买得放心，今天直播间价格超给力。,12.20  S5，产品，机身充电口转子刀网，机身展示，转台展示  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月31日,开头,早高峰前的时间按秒算。,没剃的胡子，照镜子全脸摸,张可熠,,7670469504334626879,洪晨沛,8.5,,,,,,,
,动力,上谷S5Max，39000转高转速，动力摆在那，不用来回蹭，一下是一下。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  剃半脸,,,,,,,,,,,,
